

*********************** A-C **********************
account for - to explain the reason of something	How can you account for your absence at the meeting?
set off - 1. to begin a journey; 2. to cause to begin something; 3. to cause to explode; 4. to intensify by contrast	1. We set off early in the morning. 2. His words set off a lot of speculation about the future of the company. 3. They set off bombs in several districts. 4. The black frame sets off the blue color inside.
set out - 1. to begin a journey; 2. to arrange, to design; 3. to begin professional activity	1. We set out early in the morning. 2. The salesgirl set out the goods before the sale. He set out his ideas and arguments clearly. 3. It is difficult to set out as a lawyer these days.
set up - 1. to establish, arrange, organize, construct (a business, a company, an appointment, a record, etc.); 2. to maneuver and trick someone	1. He set up his own company five years ago. A fund for the blind was set up by his company. He set up an interview for her. He set up a tent in the woods and lived there in summer. He set up a record in marathon running. 2. He is innocent, he was set up by his competitors.
set up with something - to provide with necessary things	He set them up with maps, water, food, money, and detailed instructions for the trip.
settle down - 1. to begin to live in a regular way (with family, home, permanent job); 2. to calm down	1. He did a lot of traveling before he got married and settled down in Wisconsin. 2. The town is shaken up by the news, and their excitement will not settle down soon.
settle on something - to decide, to agree on something	They argued for hours, but finally they settled on Peter's plan of action.
shake down - 1. to make something fall by shaking; 2. (slang) to search (a place, a person)	1. He didn't climb the apple tree, he shook the apples down for us. 2. The police shook down the apartment, but they didn't find any weapons.
shake off - 1. to make something fall by shaking; 2. (slang) to get rid of someone / something	1. She took the rug out and shook off the dust. 2. Shake off that stupid friend of yours and come to my place alone. She's got a bad cold and can't shake it off.
shake up - 1. to mix by shaking; 2. to agitate, to upset	1. Shake up the liquid before drinking it. 2. The crimes shook up the whole town.
shout at someone - to yell at someone	Don't shout at children.
show off - to show to an advantage; to try to impress someone, to boast	The bluish light shows off the beauty of this precious stone. I think he invited us to show off his new house. He always shows off before the girls.
show up - to appear, arrive	He showed up after ten o'clock. I waited for an hour, but he didn't show up.
shut down - 1. to close down; 2. to switch off electricity	1. The plant was shut down recently, and the workers lost their jobs. 2. They shut down the power again.
shut up - 1. to lock, to be locked; 2. (rude) to close one's mouth	1. The store was shut up for three days. 2. Now shut up and listen.
sit down - to take a seat	Please come in and sit down.
sit in for someone - to replace someone	Can you sit in for me for an hour?
sit in on something - to be present as a spectator	She was allowed to sit in on classes and exams as a visiting teacher.
sit up - 1. to rise to a sitting position (from lying); 2. to stay up; 3. to sit upright	1. She helped the old man to sit up in his bed. 2. I sat up late yesterday because I had to finish my report. 3. Sit up, don't slouch.
size up - evaluate someone	It took her five minutes to size up that man.
slip away - to go away quickly or unnoticed	She slipped away quietly because she didn't like the show. Time slips away quickly.
slip by - to go by quickly or unnoticed	Time slips by quickly. Don't let this chance slip by!
slip by/past someone - to go unnoticed by someone	He quietly slipped past the guard. But how did he manage to slip by the dogs?
slip out - to slip outside (about objects, people, facts, secrets, etc.)	The note probably slipped out when I dropped my bag. It was dark in the house, and the robbers slipped out quietly. He didn't tell anyone about the accident, but the facts slipped out somehow.
slip out of something (bag, hand, place, clothes) - to get out of something	The letter slipped out of her hand and fell to the floor. Nobody saw him slip out of the house. She slipped out of her dress.
slip up - to make a mistake	He slipped up and sent the letter to the wrong person.
slow down - to reduce the speed of something	The car slowed down before the turn. You live like there's no tomorrow, you have to slow down.
smell of something - to have a certain smell	The tea smelled of mint. This room smells of roses.
smile at someone / something	She smiled at me. She smiled at his joke.
sort out - 1. to arrange according to type, sort, class; 2. to put things in order, to make clear	1. Sort out the verbs alphabetically. Sort out the books according to the date of release. 2. I need some time to sort out my thoughts. They should sort out their affairs themselves, without your help.
speak about someone / something - to talk about someone / something	He spoke about the necessity of reforms. He can speak about her for hours.
speak for - 1. to say in support of someone / something; 2. to speak as someone's representative	1. He spoke for the new project, but no one else liked it. 2. Speak for yourself, I liked the project. He spoke for the whole group.
speak on something - to deliver a speech, talk on something	He spoke on the necessity of reforms. He spoke on the future of the company.
speak to/with someone - to talk to/with someone	She is speaking with / to her friend right now. Who do you want to speak to?
speak up/out - 1. to speak louder; 2. to express one's opinion openly	1. Please speak up, I can't hear you. 2. Many people are against it, but not many of them are ready to speak up.
spend (money, time) on something	How much time did you spend on this report? How much money do you spend on food?
stand back - to move back; to step back	Stand back, people, this thing may be dangerous! You should stand back and let him do this work his own way.
stand behind someone / something - 1. to be located behind someone / something; 2. to support someone	1. Tom is standing behind Ann. Do you see him? 2. She stands behind him in everything he does.
stand by - 1. to stand near some place; 2. to wait, to be ready for some action	1. I asked the man who stood by what happened. 2. Please stand by, our operator will speak with you in a moment.
stand by someone / something - to support, be loyal to someone / something	She stood by him in everything he did. He stood by his decision despite her protest. You promised to help, now stand by your word!
stand for something - 1. to symbolize, mean; 2. to advocate, support; 3. to tolerate	1. What does the letter Q in IQ stand for? 2. They claim that they stand for peace and democracy. 3. I won't stand for it!
stand out - to be noticeable (about people, objects)	The black letters stood out clearly on the light-blue background. He is the kind of man who stands out in any group of people.
stand up - 1. to rise; 2. to remain strong; 3. to fail to keep an appointment with someone	1. He stood up to shake her hand. 2. How long will the power generator stand up? 3. He asked me for a date and then stood me up!
stand up for someone / something - to support or defend someone / something	She stood up for him in everything he did. Many people stand up for animals' rights. He is able to stand up for himself.
start from some place - to begin something at some place	Start from the very beginning. They started the race from the school building.
start out - to begin a journey	We started out early in the morning.
start with something - to begin with something	Let me start our party with a drink to Tom's health. Start with Chapter 3.
stay at (some place) - to live at some place for a while	We stayed at the Sheraton Hotel. I stayed at my sister's for two weeks.
stay away from someone / something - to avoid, to keep away from someone / something	She always tries to stay away from the crowds. Stay away from that guy, he is dangerous. Stay away from the river!
stay out of something - not to enter; to keep out of something	Stay out of this building. I can handle it, you should stay out of this. Try to stay out of trouble.
stay over - to stay at some place for the night	We stayed over at a hotel and moved on in the morning.
stay up - not to go to bed till very late	I stayed up late yesterday because I had to finish my report.
stay with someone - to be with someone, to visit with someone	Stay with me for an hour. He stayed with us for Christmas.
step aside - to move to one side, as to let someone pass or to be out of the way	Step aside, please, let the doctor get to the injured man.
step back - to move back; to stand back	Step back, don't touch it! You should step back and let him do it in his own way.
step forward - 1. to make a step forward; 2. to move forward as a volunteer	1. He stepped forward and waved his hand. 2. Three people stepped forward to offer their help.
step on it - (slang) to hurry up, to speed up	We'd better step on it, the show begins in ten minutes.
step out - to leave some place, especially for a short time	I'm sorry, he has just stepped out. Can you call a little later?
stick around - (slang) to remain, to wait in the same place	Stick around a little longer, they may appear soon.
stick by someone - to be loyal to someone, to stand by someone	The boys decided to stick by each other no matter what happens. She always sticks by him.
stick it out - to stay to the end, to endure, to go on in spite of difficulties	This work is boring and tedious, but you have to stick it out. It was a very hard time for him, but he managed to stick it out.
stick out - to protrude, to poke out, to be noticeable	The girl stuck out her tongue at me. His ears stick out. He doesn't like to stick out in a crowd.
stick to something - 1. to attach to; 2. to cling to; 3. to keep to	1. Stick this note to the door. 2. Wet hair sticks to everything. 3. Stick to your plan.
stick together - to be united	Families and friends should stick together in times of trouble.
stick up - (slang) to rob, especially at gunpoint	They stuck up a small shop on Maple Street. Then they tried to stick up a passerby, but he ran away and called the police.
stop at something - to stop at a certain place	He stopped at the red traffic light. He will stop at nothing! We stopped at my sister's.
stop by - to come by, drop by	Can you stop by on your way home, I have something to tell you.
stop for - 1. to stop (the car) and let someone pass before it; 2. to stop for dinner - to visit and have dinner	1. You should always stop for animals crossing the road. 2. He stopped for dinner yesterday and told us about his plans.
stop someone from doing something - to prevent someone from doing something	How can I stop him from making this terrible mistake?
straighten out - to make straight, to put in order	He stood up and straightened out his back. I straightened out my room. I need to straighten out my thoughts. They should straighten out their affairs themselves, without your help.
straighten up - to make straight, to put in order	He stood up and straightened up his back. Wait here, please, I need a couple of minutes to straighten up.
subscribe to - 1. to pay and receive (newspapers, services, etc.); 2. to agree with, to write one's signature to show approval of something	1. I subscribe to several newspapers. 2. I won't subscribe to your opinion. He refused to subscribe to their plan.
substitute for someone / something - to replace someone / something with someone / something	Will you substitute for Tom while he is away? Many people substitute milk for cream in coffee.
succeed in something - to be successful in something	Everyone wants to succeed in life. He succeeded in his efforts to get a promotion.
sum up - to combine into a total, to summarize	All his earnings and savings summed up to two hundred dollars. To sum it up, it was a terrible day. She summed him up in a minute: a loser.
switch off - 1. to turn off (water, light); 2. to stop listening because of losing interest, to tune out	1. He washed his face and switched off the water. Switch off the light, please. 2. His speech was so boring that I soon switched off and began to think about my Sunday plans.
switch on - 1. to turn on (water, light); 2. to become interested	1. He switched on the water and washed his face. Switch on the light, please. 2. As soon as the boss mentioned the prizes, everyone's interest was switched on.
switch over (to something) - 1. to exchange places; 2. to make a complete change to something else	1. Let's switch over, I want to sit by the window. 2. When will the U.S. switch over to the metric system? First, the company produced paper, then they switched over to the production of children's toys.
switch to something - to replace one thing with another	He played basketball for a while; then he switched to swimming. This is boring, let's switch to a more interesting subject.
sympathize with someone - to feel for someone	I sincerely sympathize with you.
take aback - (often passive) to surprise or confuse greatly	I was taken aback by her rudeness. We were taken aback by his sudden refusal to help.
take after someone - to resemble one's parents in character or looks	He takes after his father in appearance. She takes after her mother in character.
take apart - 1. to separate the parts of some mechanism; 2. to criticize sharply	1. He took apart all of the new toys. 2. She is very upset because the critics took her book apart.
take away - to remove	She took away the food. Only time can take away her pain.
take back - 1. to take, return, accept; 2. to remind of, to cause to remember the past	1. He took back his bicycle. I need to take this coat back to the store, it's torn inside. She will never take him back after what he did. He took back his words and apologized. 2. This music takes me back to my youth.
take down - to tear down	That building was taken down last year.
take someone for someone - to confuse with somebody else, mistake for someone	Sorry, I took you for your sister. Who do you take me for?
take in - 1. to accept as tenants; 2. to make narrower	1. Mr. Bates takes in students. 2. The skirt is too wide at the waist, you need to take it in.
take off - 1. to remove (clothes); 2. to lift off (about a plane)	1. He took off his coat. 2. The plane took off at 7:00.
take on - 1. to hire; 2. to undertake, to assume (responsibility, duties); 3. to acquire (another quality, look, etc.)	1. The plant is taking on new workers. 2. He took on several new tasks. 3. After his explanation, the situation took on a different light.
take out - to take outside	She took out her wallet. Please take out the garbage. I'd like pizza with mushrooms to take out.
take it out on (someone) - to make someone else suffer because you are angry or dissatisfied	He comes home tired and angry and takes it out on his wife and children. Don't take it out on me!
take over - to assume control, responsibility or management	When the boss is away, James takes over the company.
take to something / someone - to develop a habit; to begin to like something / someone	He took to fishing. He took to drinking. She took to him as soon as she met him.
take up - 1. to begin doing something new; 2. to use (time, space)	1. She took up painting last year. 2. Gardening takes up a lot of time. This huge wardrobe takes up a lot of space.
talk about someone / something - to speak about someone / something	What are you talking about? We talked about Tom and his family.
talk back to someone - to answer rudely	Don't talk back to the teacher!
talk someone into (doing) something - to persuade someone into (doing) something	He talked her into selling the house. He talked her into giving him all her money.
talk on something - to deliver a speech, speak on something	He talked on the necessity of reforms. He talked on the future of the company.
talk someone out of (doing) something - to persuade someone out of doing something	He talked her out of selling the house. He talked her out of getting a dog.
talk over - to discuss	I talked it over with my family.
talk to/with someone - speak to/with someone	She is talking with / to her friend right now.
tear down - to take down, to demolish	That building was torn down last year.
tear off - to tear from, to rip from	He tore off his jacket and jumped into the water. He tore off a piece of paper and wrote his telephone on it.
tear out - to tear from, to rip from	I wonder why he tore out page 5. He tore out a piece of paper and wrote his telephone on it.
tear up - to destroy by tearing into pieces	She tore up his letter angrily.
tell someone about something - to inform someone about something	He told me about your plans. Tell me about your family, please.
tell apart - to see the difference	Can you tell the twins apart?
tell by something - to judge by something	I could tell by his voice that he was scared.
tell one from another - to see the difference between two things	Can you tell this brand of tea from the one we used before?
tell on someone - 1. to have a bad effect on someone; 2. to inform of bad behavior	1. Hard work is beginning to tell on his health. 2. Promise not to tell on me!
thank someone for something - to say thank you	She thanked him for his help. Thank you for telling me about it.
think about someone / something - to have thoughts, to consider	I often think about him. I have never thought about this opportunity before. What are you thinking about? I'll think about it.
think of someone / something - to have thoughts, to consider; to have an opinion; to remember	I often think of him. I have never thought of this opportunity before. What do you think of her cooking? I can't think of his name.
think over - to consider carefully	I thought over your plan. I thought it over.
think up - to make up (a plan, idea, etc.)	He thought up a clever plan how to become rich, but it didn't work.
throw away / out - to discard something	Throw out the garbage, please. Why don't you throw out this junk?
throw up - to vomit	He had a fever, a runny nose, and a sore throat. And he threw up several times.
tie up - 1. to tie someone (with a rope); 2. to be busy	1. They tied him up and robbed the house. 2. I'm pretty tied up at the moment. Can you call back later?
touch on something - 1. to mention as a subject; 2. to look like, to be close to something	1. We touched on many questions briefly. 2. His honesty touches on rudeness.
track down - to pursue, to search until found or caught	The detective tracked down the killer. They are trying to track down the cause of this strange disease.
translate from (another language)	The letter was translated from German.
translate into (another language)	Translate this passage into English.
treat someone to something - to give something nice to someone	He treated me to a nice dinner. She treated them to a great vacation in Italy.
treat someone with something - 1. to give medicine; 2. to behave toward someone in some way	1. The doctor treated her with a new medicine. 2. Treat this man with respect. He treats everyone with kindness.
trust in someone / something - to depend on, believe in someone / something	I trust in him. I trust in his good judgment.
try on - to put on new clothes to see if they fit	She tried on a black coat, but it didn't fit. Try it on, maybe you'll like it.
try out - to test	I tried out the washing machine you recommended, and I decided to buy it.
tune in - 1. to choose a radio station and listen to it; 2. to be perceptive of other people's ideas or wishes	1. His radio is tuned in to his favorite rock music station. 2. He is surprisingly tuned in to other people / to other people's wishes.
tune out - 1. to stop listening to a radio station, to switch off; 2. to stop listening because of losing interest, to switch off	1. There was nothing interesting to listen to on the radio, so I tuned out. 2. His speech was so boring that I soon tuned out and began to think about my Sunday plans.
tune up - to check, to bring in good working condition	The musicians are tuning up their instruments, they will begin to play soon. The car engine was tuned up last month.
turn around - 1. to turn and face what's behind; 2. to change (the situation) for the better	1. He turned around and faced the man who was running after him. 2. If you have your mind set on it, you can always turn the situation around.
turn around (the corner) - to go around (the corner)	He turned around the corner and went down the street to the bank.
turn away - to look away	He said hello to her, but she turned away as if she hadn't heard him.
turn back - to turn and go back	I turned back because I left my wallet. Everything is set, you can't turn back now.
turn down - to decline, to refuse	She turned down his invitation to visit his house. He turned down their offer.
turn in - 1. to submit, to hand in (a paper); 2. to inform on or give someone to the police; 3. to go to bed	1. He turned in his resignation yesterday. 2. The neighbors turned him in to the police as soon as he appeared in the house. 3. He turned in early yesterday, about nine o'clock.
turn into - 1. turn into (a street); 2. turn into someone / something - to change into someone / something	1. The car turned into a narrow side street. 2. She is turning into a good doctor. He has turned into a monster. He was turned into a mouse in that fairy tale. They turned the barn into a playroom for children.
turn off - 1. to switch off (water, light); 2. to put someone off	1. He washed his face and turned off the water. Turn off the light. 2. His arrogant behavior turned her off.
turn on - 1. to switch on (water, light); 2. to interest, excite or stimulate someone	1. He turned on the water and washed his face. Turn on the light. 2. Is there anything that can turn on his interest? This music really turns them on.
turn on / upon someone - to become hostile to someone suddenly	I don't know why she suddenly turned on me and began to shout. Her cat turned on her and scratched her face.
turn out - 1. to switch off (the light); 2. to produce; 3. to appear to be	1. Turn out the lights, please. 2. The plant turns out 300 cars a year. 3. He turned out to be a friendly young man. He turned out to be a good actor.
turn over - 1. to move from one side to another, to overturn; 2. (business) to invest and recover capital	1. The nurse turned the patient over. The car hit the guardrail and turned over. 2. The company turns over about five million dollars a year.
turn to - 1. to move and face someone or something; 2. to go to someone for something; 3. to go to some page; 4. to turn into something	1. Turn to me, please. He turned to the window. 2. She always turns to him for help. 3. Turn to page 20. 4. He turned to stone. The rain turned to snow.
turn up - to appear	Don't worry, some opportunity will turn up sooner or later.
vote against something - to oppose something	One member voted against the resolution.
vote for someone / something - to vote in favor of someone / something	Ten members voted for the candidate. Did you vote for the new plan or against it?
vote on something - to express an opinion on something	We voted on the question of money spending yesterday.
vouch for someone - to express belief in someone	I'll vouch for him. I'll vouch for his honesty.
wait for someone / something	I waited for the bus for twenty minutes.
wait on someone - to serve someone (usually in a restaurant)	Can you wait on us? Does she work? - Yes, she waits on tables in a small restaurant.
wake up - to awake	He wakes up at seven o'clock. Why did you wake me up so early?
walk away (from someone / something) - 1. to leave some place on foot; 2. to leave unhurt after a serious accident	1. I wanted to talk to her, but she just walked away. She walked away from me in a hurry. 2. He fell off the roof, but he walked away with just a couple of bruises!
walk into something - 1. to encounter trouble because of one's own carelessness; 2. to get a good job easily	1. He was reading a newspaper and walked into a tree. It was a trap and he walked into it. 2. Her uncle is on the board of directors, so she just walked into the job that other candidates were competing for.
walk off/away with something - 1. to get away with stolen goods; 2. to win the prize easily	1. The robbers walked off with precious stones and cash, and nobody saw anything! 2. He walked away with the top prize.
walk out (of something) - to leave in protest	Several members of the committee walked out when they heard about his nomination. They walked out of the meeting.
walk out on someone - to desert someone	She walked out on him because of his drinking.
ward off - to prevent, to avert (danger, evil, harm, attack, blow, etc.)	This talisman can ward off bad luck. They were able to ward off the first two attacks. The boxer warded off several blows.
warm to someone - to become friendlier to someone	She warmed to him after she saw him help a stray dog to get out of the river.
warm up - 1. to make warmer; 2. to do some exercises in preparation for sports and other activities; 3. to become friendlier to someone / something	1. The fire in the fireplace quickly warmed up the room. 2. Sportsmen always warm up before a game. 3. She warmed up to him after she saw him save a drowning stray dog. He will never warm up to your ideas.
warn someone about something - to advise about (risk, danger, etc.)	He warned me about the danger there. He warned you about the boss's temper.
warn someone against someone / something - to advise avoiding someone / something	He warned me against that unscrupulous man. He warned me against going there alone.
wash away - 1. to destroy by water; 2. to remove the feelings of guilt, sin, etc.	1. The flood washed away several bridges and roads. Heavy rains washed away the paint. 2. Alcohol and rich presents soon washed away his feeling of guilt.
wash down - to help swallow (medicine, food) with liquid	He swallowed the pills and washed them down with several gulps of water.
wash out - 1. to remove (stains, dirt) by water; 2. to destroy by water; 3. be washed out - to feel very tired or ill	1. These stains are hard to wash out. 2. The embankment was washed out by the flood. 3. He felt completely washed out.
watch for something - to look and expect something	Watch for the signal from the boat.
watch out - to look out, be careful	Watch out! There's a big dog right behind you! Watch out! The bus is coming.
wear away - to reduce, to weaken gradually; to pass (the time) slowly	Water wore away the embankment. His pain is wearing away gradually. We wore away the evening playing cards.
wear off - to diminish or disappear gradually	The smell wore off soon. The feeling of despair will wear off. The effect of the drug began to wear off, and she was in pain again.
wear out - 1. to become useless because of long use; 2. to be very tired or exhausted	1. The equipment is old and worn out. His clothes are worn out. 2. I am worn out. His behavior has worn out my patience.
welcome back - to greet someone's return	After two years of absence, we are happy to welcome back Lena Brown!
welcome someone in - to be glad to let someone in	Please welcome in our guest from Australia!
welcome someone to something - to be glad to let someone in or accept as a member	We welcomed him to our club. I'm glad to welcome you to our school. Welcome to our city!
welcome someone with something - to greet someone with something	We welcomed him with a glass of champagne and a song in his honor. They welcomed him with angry shouts and hisses.
well up - to rise (about water, feelings)	Tears welled up in her eyes. The feeling of anger welled up in him.
win back - to regain, to get back	They managed to win back their city occupied by the enemy. He is trying to win back her love.
wind up - 1. to roll into a ball; 2. to wind (a clock); 3. to end, to finish; 4. to make someone tense and excited	1. He wound up the rope into a ball. 2. He likes the toys that he can wind up. 3. It's nine o'clock. Let's wind up the meeting. 4. He's wound up and extremely touchy.
wipe off - to remove by wiping	She wiped the dust off the table. He wiped the sweat off his forehead.
wipe out - to destroy completely	The whole city was wiped out in minutes.
wise up (to something) - (slang) to learn (the truth, secret, etc.); to open one's eyes; to use common sense	He finally wised up to the fact that they were using him as a scapegoat. You should wise him up to the nature of business there. Wise up, he is not going to help you!
wish for something - to desire, to long for something	He has everything one can wish for. He wished for a new car, but he knew that he couldn't buy it.
wish on something - to make a wish on something (a star, a penny)	She wished on a falling star. Some people wish on a penny that they find.
wonder about something - to think about something with curiosity or trying to understand	I am still wondering about his behavior at the meeting. I wonder about the origin of this problem.
wonder at something - to admire, marvel at or be surprised by something	I wondered at his strength and composure in such a difficult situation.
work at - 1. to have a job at some place; 2. to work (hard) on something	1. He works at a bank. She works at IBM. 2. Work at your pronunciation. He is still working at his new novel.
work for - 1. to work for some employer; 2. to get a certain pay for work	1. He works for IBM. He works for a newspaper. 2. He agreed to work for $2,000 a month. He works for free.
work in some place - to have a job at some place	He works in a bank. She works in a restaurant.
work on it / work at it - to go on trying to get better results or to change something	The boss will fire us if he learns that we've lost this opportunity! - Calm down, I'm working on it. / I'm working at it.
work on something - to work (hard) at something	Work on your pronunciation. He is still working on his new novel.
work out - 1. to devise, invent (a plan, an idea); 2. to fix, result, succeed (about a difficult situation); 3. to train at the gym	1. We need to work out a plan how to save our friend. 2. Don't worry, everything will work out. Our plan worked out nicely. 3. He often works out at the gym.
worry about someone / something - to feel concerned about someone / something	She worries about her son. She is worried about her son. What are you worrying about? Don't worry about money.
write (a book, etc.) on (some topic) - to write about something	He wrote a book on fishing. He wrote an essay on Spanish traditions.
write about something or someone - to describe in writing	He is writing a book about fishing. He wrote an article about his trip to Spain. In his letter, he writes about an old friend of his who lives in our city.
write down - to put something in writing	Write down your task for tomorrow. Write it down.
write in - to add something into a written text	Write in your name and address, please. Write in the latest data.
write off - to cancel, to annul, to disregard something / someone as useless or unnecessary	They wrote off his debt as unpayable. The old equipment was written off last year. They wrote him off as a loser.
write out - 1. to complete (a check, a bill); 2. to write something in full form; 3. to choose and copy (words, etc.) from one place to another	1. He wrote out a check for two hundred dollars. 2. Write out the names, don't abbreviate them. First, write the sum in figures, then write out the number (in words). 3. Write out the new words.
write to someone - to address letters to someone	She wrote a letter to the manager.
yearn for something - to long for, to want very much	He is yearning for freedom. I am yearning for a vacation.
yield to someone / something - to give in to someone / something	He finally yielded to his wife's demands. You must yield the right of way to the ambulance. Don't yield to temptation.
zoom by - to speed by with a loud buzzing sound	The cars zoomed by in an endless rapid flow.
zoom in - to magnify an image	You can zoom in this picture.
zoom out - to reduce an image	Zoom out the image now.
zoom up - to fly upward quickly (about a plane, prices)	The plane zoomed up and disappeared in the clouds.

